                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86111,                 2.1073,                 1.1691,                0.48443,                0.36182,                 0.3738,                0.27223,                 1.1385,                 3.2229,                 1.6153,              0.0004065,              0.0004065,              0.0004065
                      2,                0.99325,                 1.4995,                  1.255,                0.10877,                0.46454,                0.15701,                0.09399,                 1.2329,                 66.664,                  2.173,             0.00080687,             0.00080687,             0.00080687
                      3,                 1.0605,                 1.3419,                 1.2835,                0.03872,                 0.3027,                0.03127,                0.01401,                 1.9909,                 55.233,                  2.657,              0.0011907,              0.0011907,              0.0011907
                      4,                 1.0491,                 1.3212,                  1.278,                0.66609,                0.38078,                0.44651,                0.29941,                 1.2034,                  4.705,                 1.5609,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.0714,                 1.2105,                 1.3016,                0.79189,                 0.4671,                0.55396,                0.39613,                 1.0779,                 3.4329,                 1.4884,               0.001151,               0.001151,               0.001151
                      6,                0.97804,                 1.0932,                 1.2385,                0.61323,                0.33545,                0.32279,                0.22828,                 1.4011,                 5.0995,                 1.7536,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.0012,                 1.0495,                 1.2157,                0.63638,                 0.5901,                0.66495,                0.44674,                 1.0606,                 2.5383,                 1.3554,              0.0011015,              0.0011015,              0.0011015
                      8,                0.97002,                0.99221,                 1.2156,                0.72798,                0.55485,                0.62311,                0.45321,                0.98412,                 1.8047,                 1.3037,              0.0010768,              0.0010768,              0.0010768
                      9,                0.93963,                0.92502,                 1.1846,                0.66459,                 0.6127,                0.69186,                0.50327,                0.95796,                 1.5986,                 1.2685,               0.001052,               0.001052,               0.001052
                     10,                0.96045,                 0.9694,                 1.2207,                0.75263,                0.74699,                0.75612,                0.55624,                 0.8706,                 1.1219,                 1.1688,              0.0010273,              0.0010273,              0.0010273
                     11,                0.91138,                0.89401,                 1.1696,                0.87912,                0.70251,                0.79732,                 0.5683,                0.90817,                0.96878,                  1.209,              0.0010025,              0.0010025,              0.0010025
                     12,                0.88011,                0.82667,                 1.1435,                0.80807,                0.76853,                 0.8367,                0.58634,                0.88754,                 0.8764,                 1.1885,             0.00097775,             0.00097775,             0.00097775
                     13,                0.88357,                 0.8014,                 1.1766,                0.85901,                0.72795,                0.84289,                0.60385,                0.90008,                0.88154,                 1.1822,               0.000953,               0.000953,               0.000953
                     14,                0.88392,                0.80659,                 1.1615,                0.84143,                0.82685,                0.86099,                0.64678,                0.84513,                0.77161,                 1.1633,             0.00092825,             0.00092825,             0.00092825
                     15,                0.85873,                 0.7714,                 1.1531,                0.92618,                 0.7811,                0.89751,                0.65428,                0.82805,                0.73031,                 1.1523,              0.0009035,              0.0009035,              0.0009035
                     16,                0.83521,                0.73949,                 1.1269,                0.81387,                0.74333,                0.79575,                 0.5972,                0.81837,                0.72954,                 1.1256,             0.00087875,             0.00087875,             0.00087875
                     17,                0.81243,                0.74045,                 1.1179,                0.87784,                0.78101,                0.86626,                0.65713,                0.82127,                0.67655,                  1.133,               0.000854,               0.000854,               0.000854
                     18,                0.82468,                0.72797,                 1.1223,                0.95254,                0.80098,                0.91172,                0.71575,                0.75438,                0.59039,                 1.0845,             0.00082925,             0.00082925,             0.00082925
                     19,                0.79363,                0.70022,                 1.1064,                0.84116,                0.90355,                0.94569,                 0.7064,                0.77282,                0.58028,                 1.0962,              0.0008045,              0.0008045,              0.0008045
                     20,                0.78845,                0.65972,                 1.1107,                0.79223,                0.83606,                0.88064,                0.68621,                0.76167,                0.67035,                 1.0788,             0.00077975,             0.00077975,             0.00077975
                     21,                0.74089,                0.62425,                 1.0715,                0.94221,                0.85677,                0.95329,                 0.7431,                0.71602,                0.53365,                 1.0492,               0.000755,               0.000755,               0.000755
                     22,                0.75256,                0.63297,                 1.0908,                0.93604,                0.91015,                0.95534,                0.75371,                0.72661,                0.53645,                 1.0561,             0.00073025,             0.00073025,             0.00073025
                     23,                0.74931,                 0.6456,                 1.0763,                0.91001,                 0.8596,                0.94109,                0.75082,                 0.6992,                0.55285,                 1.0323,              0.0007055,              0.0007055,              0.0007055
                     24,                0.73339,                0.62444,                 1.0783,                0.92773,                0.93998,                0.97715,                0.77909,                0.69415,                0.48767,                 1.0329,             0.00068075,             0.00068075,             0.00068075
                     25,                0.73303,                 0.6131,                  1.074,                0.94015,                0.94026,                0.98334,                0.79488,                 0.6742,                0.46061,                 1.0312,               0.000656,               0.000656,               0.000656
                     26,                0.72711,                 0.5844,                 1.0814,                0.94976,                0.95606,                0.98787,                0.80401,                0.66632,                0.45509,                  1.012,             0.00063125,             0.00063125,             0.00063125
                     27,                0.71965,                0.58317,                 1.0805,                0.92659,                0.94312,                0.97933,                0.79344,                 0.6614,                0.44903,                 1.0112,              0.0006065,              0.0006065,              0.0006065
                     28,                0.69901,                0.54488,                 1.0393,                0.94907,                0.90845,                0.96528,                0.79296,                0.64429,                0.45283,                 1.0058,             0.00058175,             0.00058175,             0.00058175
                     29,                 0.7112,                0.56521,                 1.0659,                0.91465,                0.95883,                0.97906,                0.81285,                0.64412,                0.43459,                0.99354,               0.000557,               0.000557,               0.000557
                     30,                0.68472,                0.54354,                 1.0354,                0.91389,                0.88918,                0.94195,                0.78739,                0.64602,                0.49111,                0.99002,             0.00053225,             0.00053225,             0.00053225
                     31,                0.69315,                0.52886,                 1.0443,                0.96736,                0.96508,                0.99142,                0.81156,                0.64614,                0.40964,                0.98731,              0.0005075,              0.0005075,              0.0005075
                     32,                0.68306,                0.51655,                 1.0353,                  0.966,                0.96284,                0.99104,                0.82076,                0.61858,                0.40007,                0.97685,             0.00048275,             0.00048275,             0.00048275
                     33,                0.69267,                0.52951,                 1.0486,                 0.9809,                0.99055,                0.99386,                 0.8309,                0.60782,                0.38729,                0.97297,               0.000458,               0.000458,               0.000458
                     34,                0.64598,                 0.4952,                 1.0079,                0.97262,                0.97034,                0.98952,                0.82922,                0.60957,                0.39088,                0.97548,             0.00043325,             0.00043325,             0.00043325
                     35,                0.62314,                0.48683,                 1.0081,                0.97472,                0.97502,                0.99103,                0.84297,                0.59589,                0.37163,                  0.962,              0.0004085,              0.0004085,              0.0004085
                     36,                0.64377,                0.49035,                 1.0192,                0.94813,                0.98353,                0.99096,                0.83582,                0.59602,                0.36679,                0.96247,             0.00038375,             0.00038375,             0.00038375
                     37,                0.63749,                0.47546,                 1.0177,                0.95709,                0.97939,                0.99433,                0.84336,                0.58274,                0.37105,                0.96028,               0.000359,               0.000359,               0.000359
                     38,                0.62508,                0.48612,                 1.0085,                0.98245,                0.99465,                0.99486,                0.85272,                0.56379,                0.34203,                 0.9437,             0.00033425,             0.00033425,             0.00033425
                     39,                0.63917,                0.46225,                 1.0214,                0.98221,                0.96978,                0.99343,                0.86237,                0.55644,                0.34611,                0.93706,              0.0003095,              0.0003095,              0.0003095
                     40,                0.60241,                0.42777,                  1.002,                0.98972,                0.99155,                0.99462,                0.86826,                0.55067,                0.32482,                0.93992,             0.00028475,             0.00028475,             0.00028475
                     41,                0.58072,                0.38885,                 0.9615,                0.97601,                0.99417,                0.99404,                0.85702,                0.54678,                0.33623,                0.93184,                0.00026,                0.00026,                0.00026
                     42,                0.57122,                0.36933,                0.95523,                0.99121,                0.99287,                0.99485,                0.85765,                0.54661,                0.32938,                 0.9376,             0.00023525,             0.00023525,             0.00023525
                     43,                0.57361,                 0.3594,                 0.9742,                0.99522,                 0.9911,                0.99479,                0.86553,                0.53345,                0.31632,                0.92837,              0.0002105,              0.0002105,              0.0002105
                     44,                 0.5573,                0.35159,                0.95258,                0.99662,                0.99133,                0.99494,                0.86998,                0.51683,                 0.3063,                0.91794,             0.00018575,             0.00018575,             0.00018575
                     45,                0.54929,                 0.3521,                0.95016,                0.99469,                0.99588,                0.99494,                0.87971,                0.50424,                0.30504,                0.90681,               0.000161,               0.000161,               0.000161
                     46,                 0.5294,                0.33523,                0.94107,                 0.9953,                0.99777,                0.99496,                0.88806,                0.49146,                0.29144,                0.90622,             0.00013625,             0.00013625,             0.00013625
                     47,                 0.5244,                0.32456,                0.92342,                0.99482,                0.99667,                0.99499,                0.88385,                0.48646,                0.28852,                0.90375,              0.0001115,              0.0001115,              0.0001115
                     48,                0.51371,                0.32329,                0.92185,                0.99545,                0.99719,                0.99496,                0.88913,                0.47912,                0.28257,                0.90068,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.50359,                 0.3072,                0.92277,                0.99757,                0.99788,                  0.995,                0.89037,                0.47454,                0.27792,                0.89617,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.49151,                0.30462,                0.91646,                0.99527,                0.99785,                0.99491,                0.89394,                0.46886,                0.27478,                0.89311,              3.725e-05,              3.725e-05,              3.725e-05
